Date,Nedbank Eswatini,Royal Swazi Sugar,SWD Empowerment Limited,SWAPROP,Greystone,SBC Limited,Inala Capital Limited,NPC Limited,FNB Limited
2024-02-12,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-11,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-10,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-09,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-08,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-07,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-06,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-05,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-04,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-03,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-02,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-02-01,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-31,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-30,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-29,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-28,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-27,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-26,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-25,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-24,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-23,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-22,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-21,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-20,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-19,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-18,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-17,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-16,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-15,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-14,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-13,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-12,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-11,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-10,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-09,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-08,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-07,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-06,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-05,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-04,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-03,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-02,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2024-01-01,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-31,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-30,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-29,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-28,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-27,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-26,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-25,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-24,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-23,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-22,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-21,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-20,14.5,15.2,38,7.5,3.4,8.9,1.5,1.2,14.83
2023-12-19,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-18,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
